"","lfdn","condition","Zeitpunkt","trust","intention_"
"914",973,"1",2,3,1
"915",976,"3",1,5.25,7
"916",976,"3",2,6,7
"917",977,"2",1,4.25,5
"918",977,"2",2,5.75,6
"919",978,"3",1,7,5
"920",978,"3",2,6.75,5
"921",980,"1",1,3.5,1
"922",980,"1",2,4.25,1
"923",982,"3",1,4.75,6
"924",982,"3",2,5,5
"925",984,"1",1,6.75,4
"926",984,"1",2,7,6
"927",987,"3",1,3,1
"928",987,"3",2,2.75,1
"929",989,"2",1,5.5,2
"930",989,"2",2,5.75,2
"931",990,"3",1,4.25,1
"932",990,"3",2,5,2
"933",992,"2",1,4.5,4
"934",992,"2",2,4.75,5
"935",993,"1",1,5,6
"936",993,"1",2,5,5
"937",994,"2",1,6,6
"938",994,"2",2,6,6
"939",996,"3",1,2.25,1
"940",996,"3",2,1.75,1
"941",997,"1",1,6.5,6
"942",997,"1",2,6.5,6
"943",998,"3",1,4,5
"944",998,"3",2,4,4
"945",999,"2",1,2.75,5
"946",999,"2",2,3.25,5
"947",1001,"2",1,5.25,6
"948",1001,"2",2,5,6
"949",1002,"3",1,5.25,4
"950",1002,"3",2,5.75,4
"951",1003,"2",1,4.25,7
"952",1003,"2",2,5.25,7
"953",1004,"3",1,3.75,4
"954",1004,"3",2,3.5,4
"955",1006,"1",1,5.25,3
"956",1006,"1",2,4.25,5
"957",1007,"2",1,4.5,1
"958",1007,"2",2,4,1
"959",1009,"3",1,2.5,1
"960",1009,"3",2,3,1
"961",1011,"1",1,6.25,2
"962",1011,"1",2,6,2
"963",1014,"2",1,4,2
"964",1014,"2",2,4,2
"965",1016,"3",1,3.75,1
"966",1016,"3",2,3,2
"967",1017,"2",1,5.25,3
"968",1017,"2",2,4,2
"969",1018,"1",1,6.5,1
"970",1018,"1",2,5.25,1
"971",1020,"1",1,3.25,1
"972",1020,"1",2,2.25,1
"973",1021,"3",1,5,1
"974",1021,"3",2,5,1
"975",1026,"3",1,4.5,1
"976",1026,"3",2,4,1
"977",1027,"1",1,6,4
"978",1027,"1",2,6,4
"979",1029,"2",1,2,4
"980",1029,"2",2,2.5,3
"981",1032,"3",1,4.75,6
"982",1032,"3",2,5,5
"983",1036,"2",1,4.75,5
"984",1036,"2",2,5,5
"985",1037,"2",1,5.5,5
"986",1037,"2",2,5,6
"987",1038,"3",1,6.5,7
"988",1038,"3",2,7,6
"989",1039,"1",1,7,7
"990",1039,"1",2,7,7
"991",1040,"3",1,4.75,5
"992",1040,"3",2,5,3
"993",1042,"2",1,5,1
"994",1042,"2",2,5,1
"995",1045,"1",1,3.25,2
"996",1045,"1",2,3,1
"997",1046,"2",1,3.75,4
"998",1046,"2",2,4,3
"999",1047,"3",1,6,7
"1000",1047,"3",2,6,7
"1001",1048,"2",1,5,5
"1002",1048,"2",2,5,5
"1003",1049,"3",1,5.75,4
"1004",1049,"3",2,6.75,5
"1005",1050,"1",1,4.5,1
"1006",1050,"1",2,3.75,1
"1007",1051,"3",1,4.5,2
"1008",1051,"3",2,5.25,2
"1009",1052,"2",1,2.5,2
"1010",1052,"2",2,2.5,2
"1011",1053,"1",1,5.75,5
"1012",1053,"1",2,6,5
"1013",1056,"3",1,5.5,1
"1014",1056,"3",2,5,1
"1015",1058,"2",1,6.25,1
"1016",1058,"2",2,6,6
"1017",1068,"1",1,4.5,6
"1018",1068,"1",2,5,6
"1019",1069,"2",1,6,7
"1020",1069,"2",2,6,7
"1021",1070,"1",1,6,6
"1022",1070,"1",2,6,6
"1023",1071,"2",1,4.5,2
"1024",1071,"2",2,3.75,2
"1025",1075,"3",1,4,1
"1026",1075,"3",2,2.5,1
"1027",1078,"2",1,4.75,1
"1028",1078,"2",2,5.5,1
"1029",1079,"2",1,5.5,3
"1030",1079,"2",2,5.75,4
"1031",1080,"1",1,6,7
"1032",1080,"1",2,6,7
"1033",1085,"1",1,7,3
"1034",1085,"1",2,7,3
"1035",1087,"3",1,2.5,1
"1036",1087,"3",2,2.5,1
"1037",1088,"1",1,4.5,2
"1038",1088,"1",2,5,6
"1039",1092,"2",1,7,1
"1040",1092,"2",2,7,1
"1041",1093,"1",1,6,7
"1042",1093,"1",2,6,7
"1043",1096,"2",1,5,7
"1044",1096,"2",2,4,7
"1045",1098,"3",1,7,7
"1046",1098,"3",2,7,7
"1047",1101,"3",1,6.25,1
"1048",1101,"3",2,6.5,1
"1049",1105,"1",1,2,1
"1050",1105,"1",2,1.75,1
"1051",1107,"2",1,5.5,6
"1052",1107,"2",2,5.25,5
"1053",1108,"3",1,5.5,6
"1054",1108,"3",2,5.75,6
"1055",1109,"1",1,6.25,7
"1056",1109,"1",2,6.25,7
"1057",1110,"2",1,6.5,6
"1058",1110,"2",2,6,7
"1059",1116,"1",1,5,2
"1060",1116,"1",2,3.75,6
"1061",1119,"2",1,5.5,6
"1062",1119,"2",2,5.5,5
